,cuis,drugbankID,drugname,indication
1838,C0005743,DB02703,fusidic acid,Blepharoconjunctivitis
1839,C0024286,DB02703,fusidic acid,Lymphogranuloma venereum
1840,C0008149,DB02703,fusidic acid,Chlamydial infection
1841,C0152945,DB02703,fusidic acid,Gastrointestinal anthrax
1842,C1260917,DB02703,fusidic acid,Proteus pneumonia
1843,C0042164,DB02703,fusidic acid,Uveitis
1844,C0157749,DB02703,fusidic acid,Infectious disorder of joint
1845,C1997322,DB02703,fusidic acid,Chlamydia trachomatis infection of genital structure
1846,C0035597,DB02703,fusidic acid,Rickettsialpox
1847,C0178299,DB02703,fusidic acid,Infection of skin AND/OR subcutaneous tissue
1848,C0004626,DB02703,fusidic acid,Bacterial pneumonia
1849,C0729587,DB02703,fusidic acid,Infective blepharitis
1850,C0949083,DB02703,fusidic acid,Nosocomial pneumonia
1851,C0577690,DB02703,fusidic acid,Proteus septicemia
1852,C0259799,DB02703,fusidic acid,Punctate keratitis
1853,C0038395,DB02703,fusidic acid,Streptococcal infectious disease
1854,C0004771,DB02703,fusidic acid,Bartonellosis
1855,C0032285,DB02703,fusidic acid,Pneumonia
1856,C0036472,DB02703,fusidic acid,Scrub typhus
1857,C1318973,DB02703,fusidic acid,Infection due to Staphylococcus aureus
1858,C0085394,DB02703,fusidic acid,Bacterial infection due to Serratia
1859,C0010032,DB02703,fusidic acid,Corneal abrasion
1860,C0009770,DB02703,fusidic acid,Inclusion conjunctivitis
1861,C0577708,DB02703,fusidic acid,Escherichia coli urinary tract infection
1862,C1960398,DB11828,neratinib,HER2-positive carcinoma of breast
1863,C0019693,DB09101,elvitegravir,Human immunodeficiency virus infection
1864,C0024537,DB01218,halofantrine,Vivax malaria
1865,C0024535,DB01218,halofantrine,Falciparum malaria
1866,C0577709,DB01330,cefotetan,Proteus urinary tract infection
1867,C1263758,DB01330,cefotetan,Female genital tract infection
1868,C1112209,DB01330,cefotetan,Infectious disease of abdomen
1869,C0276026,DB01330,cefotetan,Haemophilus influenzae pneumonia
1870,C0729524,DB01330,cefotetan,Bacterial urinary infection
1871,C0004626,DB01330,cefotetan,Bacterial pneumonia
1872,C0276089,DB01330,cefotetan,Pneumonia due to Escherichia coli
1873,C0343402,DB01330,cefotetan,Bacterial infection due to Klebsiella pneumoniae
1874,C0032308,DB01330,cefotetan,Staphylococcal pneumonia
1875,C0155862,DB01330,cefotetan,Pneumonia due to Streptococcus
1876,C1318973,DB01330,cefotetan,Infection due to Staphylococcus aureus
1877,C0178299,DB01330,cefotetan,Infection of skin AND/OR subcutaneous tissue
1878,C1096562,DB01330,cefotetan,Peptostreptococcus infection
1879,C0684256,DB01330,cefotetan,Bacterial septicemia
1880,C0014836,DB01330,cefotetan,Infection due to Escherichia coli
1881,C0014179,DB01330,cefotetan,Endometritis
1882,C0149725,DB01330,cefotetan,Lower respiratory tract infection
1883,C0520775,DB01330,cefotetan,Klebsiella cystitis
1884,C1260917,DB01330,cefotetan,Proteus pneumonia
1885,C1997728,DB01330,cefotetan,Osteomyelitis due to Staphylococcus aureus
1886,C0577708,DB01330,cefotetan,Escherichia coli urinary tract infection
1887,C0554628,DB01330,cefotetan,Streptococcus pyogenes infection
1888,C0153196,DB01330,cefotetan,Acute gonococcal endometritis
1889,C0019693,DB00900,didanosine,Human immunodeficiency virus infection
1890,C0009766,DB00885,pemirolast,Allergic conjunctivitis
1891,C0004096,DB00885,pemirolast,Asthma
1892,C2607914,DB00885,pemirolast,Allergic rhinitis
1893,C0011860,DB04830,buformin,Diabetes mellitus type 2
1894,C0009766,DB00716,nedocromil,Allergic conjunctivitis
1895,C0004096,DB00716,nedocromil,Asthma
1896,C1318955,DB00716,nedocromil,Asthma management
1897,C2607914,DB00936,salicylic acid,Allergic rhinitis
1898,C0029408,DB00936,salicylic acid,Osteoarthritis
1899,C0870082,DB00936,salicylic acid,Hyperkeratosis
1900,C0015967,DB00936,salicylic acid,Fever
1901,C0036508,DB00936,salicylic acid,Seborrheic dermatitis
1902,C0423775,DB00936,salicylic acid,Pityriasis simplex
1903,C0009443,DB00936,salicylic acid,Common cold
1904,C0042548,DB00936,salicylic acid,Verruca plantaris
1905,C0001144,DB00936,salicylic acid,Acne vulgaris
1906,C0040259,DB00936,salicylic acid,Tinea pedis
1907,C0003873,DB00936,salicylic acid,Rheumatoid arthritis
1908,C0030193,DB00936,salicylic acid,Pain
1909,C0040252,DB00936,salicylic acid,Tinea corporis
1910,C0234925,DB00936,salicylic acid,Greasy skin
1911,C0039103,DB00936,salicylic acid,Synovitis
1912,C0475811,DB00936,salicylic acid,Disorder of keratinization
1913,C0028840,DB00742,mannitol,Ocular hypertension
1914,C0013604,DB00742,mannitol,Edema
1915,C0033845,DB00742,mannitol,Benign intracranial hypertension
1916,C0006114,DB00742,mannitol,Cerebral edema
1917,C0010674,DB00742,mannitol,Cystic fibrosis
1918,C0271429,DB00415,ampicillin,Acute otitis media
1919,C0275555,DB00415,ampicillin,Acute bacterial epiglottitis
1920,C0276088,DB00415,ampicillin,Septicemia due to Escherichia coli
1921,C0008311,DB00415,ampicillin,Cholangitis
1922,C0004626,DB00415,ampicillin,Bacterial pneumonia
1923,C0338395,DB00415,ampicillin,Escherichia coli meningitis
1924,C0856695,DB00415,ampicillin,Acute exacerbation of chronic bronchitis
1925,C0155814,DB00415,ampicillin,Acute epiglottitis
1926,C0588233,DB00415,ampicillin,Septicemia due to enterococcus
1927,C0155862,DB00415,ampicillin,Pneumococcal pneumonia
1928,C0153195,DB00415,ampicillin,Acute gonococcal cervicitis
1929,C0275665,DB00415,ampicillin,Gonorrhea of rectum
1930,C0341503,DB00415,ampicillin,Bacterial peritonitis
1931,C1263758,DB00415,ampicillin,Female genital tract infection
1932,C0014121,DB00415,ampicillin,Bacterial endocarditis
1933,C1318973,DB00415,ampicillin,Infection due to Staphylococcus aureus
1934,C0729586,DB00415,ampicillin,Infective otitis media
1935,C2887088,DB00415,ampicillin,Sepsis due to Staphylococcus aureus
1936,C0729524,DB00415,ampicillin,Bacterial urinary infection
1937,C0152486,DB00415,ampicillin,Salmonella septicemia
1938,C0520767,DB00415,ampicillin,Staphylococcal endocarditis
1939,C0684256,DB00415,ampicillin,Bacterial septicemia
1940,C0152964,DB00415,ampicillin,Streptococcal septicemia
1941,C0037199,DB00415,ampicillin,Sinusitis
1942,C0032308,DB00415,ampicillin,Staphylococcal pneumonia
1943,C0178299,DB00415,ampicillin,Infection of skin AND/OR subcutaneous tissue
1944,C0275652,DB00415,ampicillin,Acute gonococcal urethritis
1945,C0085437,DB00415,ampicillin,Bacterial meningitis
1946,C0275556,DB00415,ampicillin,Acute bacterial sinusitis
1947,C0013369,DB00415,ampicillin,Dysentery
1948,C0018081,DB00415,ampicillin,Gonorrhea
1949,C0153196,DB00415,ampicillin,Acute gonococcal endometritis
1950,C0025295,DB00415,ampicillin,Pneumococcal meningitis
1951,C0013371,DB00415,ampicillin,Shigellosis
1952,C0025294,DB00415,ampicillin,Meningococcal meningitis
1953,C0155862,DB00415,ampicillin,Pneumonia due to Streptococcus
1954,C0031350,DB00415,ampicillin,Pharyngitis
1955,C0042029,DB00415,ampicillin,Urinary tract infectious disease
1956,C0577690,DB00415,ampicillin,Proteus septicemia
1957,C0275761,DB00415,ampicillin,Pneumococcal pharyngitis
1958,C0014836,DB00415,ampicillin,Infection due to Escherichia coli
1959,C0577709,DB00415,ampicillin,Proteus urinary tract infection
1960,C0275804,DB00415,ampicillin,Streptococcal tonsillitis
1961,C1112209,DB00415,ampicillin,Infectious disease of abdomen
1962,C0014347,DB00415,ampicillin,Infection due to Enterobacteriaceae
1963,C0030528,DB00415,ampicillin,Paratyphoid fever
1964,C0035468,DB00415,ampicillin,Rhinoscleroma
1965,C0276026,DB00415,ampicillin,Haemophilus influenzae pneumonia
1966,C0033975,DB00623,fluphenazine,Psychotic disorder
1967,C0036341,DB00623,fluphenazine,Schizophrenia
1968,C0007115,DB00279,liothyronine,Malignant tumor of thyroid gland
1969,C0018022,DB00279,liothyronine,Simple goiter
1970,C0027145,DB00279,liothyronine,Myxedema
1971,C0010308,DB00279,liothyronine,Congenital hypothyroidism
1972,C0018021,DB00279,liothyronine,Goiter
1973,C0020676,DB00279,liothyronine,Hypothyroidism
1974,C0238298,DB00279,liothyronine,Myxedema coma
1975,C0042029,DB09050,ceftolozane,Urinary tract infectious disease
1976,C1112209,DB09050,ceftolozane,Infectious disease of abdomen
1977,C0037383,DB00637,astemizole,Sneezing
1978,C0009766,DB00637,astemizole,Allergic conjunctivitis
1979,C0578870,DB00637,astemizole,Chronic idiopathic urticaria
1980,C2607914,DB00637,astemizole,Allergic rhinitis
1981,C0015652,DB12245,triclabendazole,Infection by Fasciola
1982,C0003873,DB09212,loxoprofen,Rheumatoid arthritis
1983,C0027404,DB00745,modafinil,Narcolepsy
1984,C0271568,DB01277,mecasermin,Laron-type isolated somatotropin defect
1985,C2711653,DB01080,vigabatrin,Epilepsy characterized by intractable complex partial seizures
1986,C0037769,DB01080,vigabatrin,West syndrome
1987,C0011268,DB13247,pramiracetam,Senile dementia
1988,C0233794,DB13247,pramiracetam,Memory impairment
1989,C0040028,DB00261,anagrelide,Essential thrombocythemia
1990,C1096562,DB01332,ceftizoxime,Peptostreptococcus infection
1991,C0554628,DB01332,ceftizoxime,Streptococcus pyogenes infection
1992,C0577709,DB01332,ceftizoxime,Proteus urinary tract infection
1993,C0275665,DB01332,ceftizoxime,Gonorrhea of rectum
1994,C0577708,DB01332,ceftizoxime,Escherichia coli urinary tract infection
1995,C0035468,DB01332,ceftizoxime,Rhinoscleroma
1996,C0152964,DB01332,ceftizoxime,Streptococcal septicemia
1997,C0276089,DB01332,ceftizoxime,Pneumonia due to Escherichia coli
1998,C0014836,DB01332,ceftizoxime,Infection due to Escherichia coli
1999,C0085394,DB01332,ceftizoxime,Bacterial infection due to Serratia
2000,C0042029,DB01332,ceftizoxime,Urinary tract infectious disease
2001,C0032285,DB01332,ceftizoxime,Pneumonia
2002,C0025289,DB01332,ceftizoxime,Meningitis
2003,C0152973,DB01332,ceftizoxime,Septicemia due to Serratia
2004,C0157749,DB01332,ceftizoxime,Infectious disorder of joint
2005,C0153195,DB01332,ceftizoxime,Acute gonococcal cervicitis
2006,C0684256,DB01332,ceftizoxime,Bacterial septicemia
2007,C2242472,DB01332,ceftizoxime,Infection of bone
2008,C0275652,DB01332,ceftizoxime,Acute gonococcal urethritis
2009,C0520775,DB01332,ceftizoxime,Klebsiella cystitis
2010,C0032308,DB01332,ceftizoxime,Staphylococcal pneumonia
2011,C0155862,DB01332,ceftizoxime,Pneumonia due to Streptococcus
2012,C1997728,DB01332,ceftizoxime,Osteomyelitis due to Staphylococcus aureus
2013,C0178299,DB01332,ceftizoxime,Infection of skin AND/OR subcutaneous tissue
2014,C1260917,DB01332,ceftizoxime,Proteus pneumonia
2015,C0153196,DB01332,ceftizoxime,Acute gonococcal endometritis
2016,C0343402,DB01332,ceftizoxime,Bacterial infection due to Klebsiella pneumoniae
2017,C0149725,DB01332,ceftizoxime,Lower respiratory tract infection
2018,C0729524,DB01332,ceftizoxime,Bacterial urinary infection
2019,C2887088,DB01332,ceftizoxime,Sepsis due to Staphylococcus aureus
2020,C0014347,DB01332,ceftizoxime,Infection due to Enterobacteriaceae
2021,C0154639,DB01332,ceftizoxime,Streptococcal meningitis
2022,C0018081,DB01332,ceftizoxime,Gonorrhea
2023,C1112209,DB01332,ceftizoxime,Infectious disease of abdomen
2024,C0276026,DB01332,ceftizoxime,Haemophilus influenzae pneumonia
2025,C1318973,DB01332,ceftizoxime,Infection due to Staphylococcus aureus
2026,C0341503,DB01332,ceftizoxime,Bacterial peritonitis
2027,C0276064,DB01332,ceftizoxime,Septicemia due to Bacteroides
2028,C0276088,DB01332,ceftizoxime,Septicemia due to Escherichia coli
2029,C0026836,DB01338,pipecuronium,"Muscle relaxation, function"
2030,C1112209,DB09324,sulbactam,Infectious disease of abdomen
2031,C0035468,DB09324,sulbactam,Rhinoscleroma
2032,C0178299,DB09324,sulbactam,Infection of skin AND/OR subcutaneous tissue
2033,C1263758,DB09324,sulbactam,Female genital tract infection
2034,C1318973,DB09324,sulbactam,Infection due to Staphylococcus aureus
2035,C0341503,DB09324,sulbactam,Bacterial peritonitis
2036,C0008311,DB09324,sulbactam,Cholangitis
2037,C0014347,DB09324,sulbactam,Infection due to Enterobacteriaceae
2038,C0014836,DB09324,sulbactam,Infection due to Escherichia coli
2039,C0038363,DB01025,amlexanox,Aphthous ulcer of mouth
2040,C0040038,DB13367,cloricromen,Thromboembolic disorder
2041,C0206525,DB11637,delamanid,Drug resistant tuberculosis
2042,C0009766,DB00557,hydroxyzine,Allergic conjunctivitis
2043,C1260880,DB00557,hydroxyzine,Nasal discharge
2044,C0042109,DB00557,hydroxyzine,Urticaria
2045,C0343065,DB00557,hydroxyzine,Dermatographic urticaria
2046,C0033774,DB00557,hydroxyzine,Itching of skin
2047,C0011615,DB00557,hydroxyzine,Atopic dermatitis
2048,C2607914,DB00557,hydroxyzine,Allergic rhinitis
2049,C0577708,DB00260,cycloserine,Escherichia coli urinary tract infection
2050,C0041327,DB00260,cycloserine,Pulmonary tuberculosis
2051,C0275959,DB00260,cycloserine,Acute tuberculosis
2052,C0729524,DB00260,cycloserine,Bacterial urinary infection
2053,C0040558,DB00359,sulfadiazine,Toxoplasmosis
2054,C0008513,DB00359,sulfadiazine,Chorioretinitis
2055,C0009324,DB00359,sulfadiazine,Ulcerative colitis
2056,C1720498,DB00359,sulfadiazine,Toxoplasmosis associated with acquired immunodeficiency syndrome
2057,C0037299,DB00359,sulfadiazine,Skin ulcer
2058,C0040560,DB00359,sulfadiazine,Congenital toxoplasmosis
2059,C0687148,DB00162,retinol,Mineral deficiency
2060,C1510471,DB00162,retinol,Vitamin deficiency
2061,C0042842,DB00162,retinol,Vitamin A deficiency
2062,C1960644,DB00162,retinol,Prevention of dental caries
2063,C0014175,DB09371,norethynodrel,Endometriosis
2064,C0025323,DB09371,norethynodrel,Menorrhagia
2065,C0271578,DB09371,norethynodrel,Female hypogonadism syndrome
2066,C0700589,DB09371,norethynodrel,Contraception
2067,C0271578,DB00717,norethisterone,Female hypogonadism syndrome
2068,C0221392,DB00717,norethisterone,Atrophic vaginitis
2069,C0700589,DB00717,norethisterone,Contraception
2070,C0232940,DB00717,norethisterone,Secondary physiologic amenorrhea
2071,C0025323,DB00717,norethisterone,Menorrhagia
2072,C0600142,DB00717,norethisterone,Menopausal flushing
2073,C0156393,DB00717,norethisterone,Atrophic vulva
2074,C0029458,DB00717,norethisterone,Postmenopausal osteoporosis
2075,C0025874,DB00717,norethisterone,Dysfunctional uterine bleeding
2076,C0001144,DB00717,norethisterone,Acne vulgaris
2077,C0014175,DB00717,norethisterone,Endometriosis
2078,C0271606,DB00717,norethisterone,Primary ovarian failure
2079,C0151482,DB00115,cyanocobalamin,Megaloblastic anemia due to folate deficiency
2080,C0002892,DB00115,cyanocobalamin,Pernicious anemia
2081,C0162316,DB00115,cyanocobalamin,Iron deficiency anemia
2082,C1510471,DB00115,cyanocobalamin,Vitamin deficiency
2083,C0042847,DB00115,cyanocobalamin,Cobalamin deficiency
2084,C0009443,DB09154,sodium citrate,Common cold
2085,C0030920,DB09154,sodium citrate,Peptic ulcer
2086,C0017168,DB09154,sodium citrate,Gastroesophageal reflux disease
2087,C0013395,DB09154,sodium citrate,Indigestion
2088,C0010200,DB09154,sodium citrate,Cough
2089,C0035455,DB09154,sodium citrate,Rhinitis
2090,C0018834,DB09154,sodium citrate,Heartburn
2091,C0027424,DB09154,sodium citrate,Nasal congestion
2092,C1260880,DB09154,sodium citrate,Nasal discharge
2093,C0023434,DB06650,ofatumumab,"Chronic lymphoid leukemia, disease"
2094,C0700345,DB00251,terconazole,Candidal vulvovaginitis
2095,C1561828,DB09107,methoxy polyethylene glycol-epoetin beta,Anemia in chronic kidney disease
2096,C0002915,DB01221,ketamine,General anesthesia
2097,C0002921,DB01221,ketamine,Local anesthesia
2098,C0080274,DB01019,bethanechol,Retention of urine
2099,C0221392,DB01395,drospirenone,Atrophic vaginitis
2100,C0700589,DB01395,drospirenone,Contraception
2101,C0600142,DB01395,drospirenone,Menopausal flushing
2102,C0520676,DB01395,drospirenone,Premenstrual dysphoric disorder
2103,C0001144,DB01395,drospirenone,Acne vulgaris
2104,C0156393,DB01395,drospirenone,Atrophic vulva
2105,C0271093,DB01057,echothiophate,Stargardt's disease
2106,C0017601,DB01057,echothiophate,Glaucoma
2107,C0017612,DB01057,echothiophate,Open-angle glaucoma
2108,C0014877,DB01057,echothiophate,Esotropia
2109,C0024117,DB01274,arformoterol,Chronic obstructive lung disease
2110,C0008677,DB01274,arformoterol,Chronic bronchitis
2111,C0034067,DB01274,arformoterol,Pulmonary emphysema
2112,C0745138,DB00800,fenoldopam,Hypertensive urgency
2113,C0024588,DB00800,fenoldopam,Malignant essential hypertension
2114,C0031511,DB00765,metirosine,Pheochromocytoma
2115,C0019829,DB01168,procarbazine,Hodgkin's disease
2116,C0029458,DB00169,colecalciferol,Postmenopausal osteoporosis
2117,C0020626,DB00169,colecalciferol,Hypoparathyroidism
2118,C0042870,DB00169,colecalciferol,Vitamin D deficiency
2119,C0035579,DB00169,colecalciferol,Rickets
2120,C0020598,DB00169,colecalciferol,Hypocalcemia
2121,C1510471,DB00169,colecalciferol,Vitamin deficiency
2122,C0029442,DB00169,colecalciferol,Osteomalacia
2123,C0029456,DB00169,colecalciferol,Osteoporosis
2124,C1960644,DB00169,colecalciferol,Prevention of dental caries
2125,C0020598,DB01070,dihydrotachysterol,Hypocalcemia
2126,C0039621,DB01070,dihydrotachysterol,Tetany
2127,C0020626,DB01070,dihydrotachysterol,Hypoparathyroidism
2128,C0035579,DB01070,dihydrotachysterol,Rickets
2129,C0085682,DB01070,dihydrotachysterol,Hypophosphatemia
2130,C0079773,DB00591,fluocinolone acetonide,Primary cutaneous T-cell lymphoma
2131,C0015230,DB00591,fluocinolone acetonide,Eruption of skin
2132,C0033775,DB00591,fluocinolone acetonide,Pruritus ani
2133,C0024138,DB00591,fluocinolone acetonide,Discoid lupus erythematosus
2134,C0011616,DB00591,fluocinolone acetonide,Contact dermatitis
2135,C0149922,DB00591,fluocinolone acetonide,Lichen simplex chronicus
2136,C0085074,DB00591,fluocinolone acetonide,Granuloma annulare
2137,C0025218,DB00591,fluocinolone acetonide,Chloasma
2138,C0011615,DB00591,fluocinolone acetonide,Atopic dermatitis
2139,C0406317,DB00591,fluocinolone acetonide,Plaque psoriasis
2140,C0406326,DB00591,fluocinolone acetonide,Scalp psoriasis
2141,C0008526,DB00591,fluocinolone acetonide,Choroiditis
2142,C0036508,DB00591,fluocinolone acetonide,Seborrheic dermatitis
2143,C0033777,DB00591,fluocinolone acetonide,Pruritus of genital organs
2144,C0423775,DB00591,fluocinolone acetonide,Pityriasis simplex
2145,C0282488,DB01093,dimethyl sulfoxide,Ulcerative cystitis
2146,C0443072,DB02325,isopropanol,Antiseptic preparation
2147,C0577708,DB00698,nitrofurantoin,Escherichia coli urinary tract infection
2148,C0520775,DB00698,nitrofurantoin,Klebsiella cystitis
2149,C0003873,DB13317,flunoxaprofen,Rheumatoid arthritis
2150,C0011860,DB08882,linagliptin,Diabetes mellitus type 2
2151,C0151636,DB01228,encainide,Ventricular premature beats
2152,C0020538,DB00612,bisoprolol,Hypertensive disorder
2153,C0017612,DB00964,apraclonidine,Open-angle glaucoma
2154,C1532338,DB00964,apraclonidine,Percutaneous coronary intervention
2155,C0029458,DB00630,alendronic acid,Postmenopausal osteoporosis
2156,C0029401,DB00630,alendronic acid,Osteitis deformans
2157,C0267055,DB00863,ranitidine,Erosive esophagitis
2158,C0013295,DB00863,ranitidine,Duodenal ulcer disease
2159,C0043515,DB00863,ranitidine,Zollinger-Ellison syndrome
2160,C0013395,DB00863,ranitidine,Indigestion
2161,C0017168,DB00863,ranitidine,Gastroesophageal reflux disease
2162,C0018834,DB00863,ranitidine,Heartburn
2163,C0038358,DB00863,ranitidine,Gastric ulcer
2164,C0018801,DB13316,ibopamine,Heart failure
2165,C0242422,DB01186,pergolide,Parkinsonism
2166,C0019345,DB00632,docosanol,Herpes labialis
2167,C0038525,DB00393,nimodipine,Subarachnoid intracranial hemorrhage
2168,C0032308,DB00713,oxacillin,Staphylococcal pneumonia
2169,C0038160,DB00713,oxacillin,Staphylococcal infectious disease
2170,C2242472,DB00713,oxacillin,Infection of bone
2171,C2887088,DB00713,oxacillin,Sepsis due to Staphylococcus aureus
2172,C0149725,DB00713,oxacillin,Lower respiratory tract infection
2173,C1997728,DB00713,oxacillin,Osteomyelitis due to Staphylococcus aureus
2174,C0178299,DB00713,oxacillin,Infection of skin AND/OR subcutaneous tissue
2175,C0275556,DB00713,oxacillin,Acute bacterial sinusitis
2176,C1318973,DB00713,oxacillin,Infection due to Staphylococcus aureus
2177,C0520767,DB00713,oxacillin,Staphylococcal endocarditis
2178,C0037199,DB00713,oxacillin,Sinusitis
2179,C0154640,DB00713,oxacillin,Staphylococcal meningitis
2180,C0031350,DB00713,oxacillin,Pharyngitis
2181,C0152965,DB00713,oxacillin,Staphylococcal septicemia
2182,C0027051,DB00266,dicoumarol,Myocardial infarction
2183,C0040038,DB00266,dicoumarol,Thromboembolic disorder
2184,C0040053,DB00266,dicoumarol,Thrombosis
2185,C0007780,DB00266,dicoumarol,Cerebral embolism
2186,C0024305,DB00791,uracil mustard,Non-Hodgkin's lymphoma
2187,C0032463,DB00791,uracil mustard,Polycythemia vera
2188,C0023473,DB00791,uracil mustard,Chronic myeloid leukemia
2189,C0023434,DB00791,uracil mustard,"Chronic lymphoid leukemia, disease"
2190,C0700589,DB09123,dienogest,Contraception
2191,C0700345,DB01007,tioconazole,Candidal vulvovaginitis
2192,C1562029,DB00014,goserelin,Hormone receptor positive malignant neoplasm of breast
2193,C0014175,DB00014,goserelin,Endometriosis
2194,C0011860,DB00331,metformin,Diabetes mellitus type 2
2195,C0085786,DB09079,nintedanib,Hamman-Rich syndrome
2196,C0007131,DB09079,nintedanib,Non-small cell lung cancer
2197,C0036341,DB06216,asenapine,Schizophrenia
2198,C0236780,DB06216,asenapine,Mixed bipolar I disorder
2199,C0338873,DB06216,asenapine,"Bipolar affective disorder, current episode manic"
2200,C0030783,DB08949,inositol nicotinate,Niacin deficiency
2201,C0030783,DB08949,inositol nicotinate,Pellagra
2202,C0040259,DB00735,naftifine,Tinea pedis
2203,C0040252,DB00735,naftifine,Tinea corporis
2204,C1384589,DB00735,naftifine,Tinea cruris
2205,C0006849,DB01026,ketoconazole,Candidiasis of mouth
2206,C0423775,DB01026,ketoconazole,Pityriasis simplex
2207,C0036508,DB01026,ketoconazole,Seborrheic dermatitis
2208,C0009186,DB01026,ketoconazole,Coccidioidomycosis
2209,C0008582,DB01026,ketoconazole,Chromoblastomycosis
2210,C0019655,DB01026,ketoconazole,Histoplasmosis
2211,C0040262,DB01026,ketoconazole,Pityriasis versicolor
2212,C0030409,DB01026,ketoconazole,Paracoccidioidomycosis
2213,C0153252,DB01026,ketoconazole,Disseminated candidiasis
2214,C1384589,DB01026,ketoconazole,Tinea cruris
2215,C0006846,DB01026,ketoconazole,Candidiasis of skin
2216,C0040252,DB01026,ketoconazole,Tinea corporis
2217,C0005716,DB01026,ketoconazole,Blastomycosis
2218,C0040259,DB01026,ketoconazole,Tinea pedis
2219,C0001622,DB01026,ketoconazole,Hypercortisolism
2220,C0023467,DB01204,mitoxantrone,"Acute myeloid leukemia, disease"
2221,C0751967,DB01204,mitoxantrone,Relapsing remitting multiple sclerosis
2222,C0028840,DB09401,isosorbide,Ocular hypertension
2223,C0004096,DB13573,acefylline,Asthma
2224,C0006277,DB13573,acefylline,Bronchitis
2225,C0007222,DB13573,acefylline,Disorder of cardiovascular system
2226,C0002962,DB09220,nicorandil,Angina pectoris
2227,C0011633,DB03793,benzoic acid,Dermatomyositis
2228,C0011644,DB03793,benzoic acid,Systemic sclerosis
2229,C1527383,DB03793,benzoic acid,Morphea
2230,C0030848,DB03793,benzoic acid,Induratio penis plastica
2231,C0030807,DB03793,benzoic acid,Pemphigus
2232,C0220994,DB03793,benzoic acid,Hyperammonemia
2233,C0011581,DB09248,mebanazine,Depressive disorder
2234,C0275959,DB00233,aminosalicylic acid,Acute tuberculosis
2235,C0041327,DB00233,aminosalicylic acid,Pulmonary tuberculosis
2236,C0004604,DB08797,salicylamide,Backache
2237,C0393735,DB08797,salicylamide,Headache disorder
2238,C0003862,DB08797,salicylamide,Joint pain
2239,C0015967,DB08797,salicylamide,Fever
2240,C0030193,DB08797,salicylamide,Pain
2241,C1623040,DB00165,pyridoxine,Breastfeeding (mother)
2242,C0032961,DB00165,pyridoxine,"Pregnancy, function"
2243,C0936215,DB00165,pyridoxine,Vitamin B6 deficiency
2244,C0085096,DB00806,pentoxifylline,Peripheral vascular disease
2245,C0037763,DB08992,eperisone,Spasm
2246,C0002962,DB01244,bepridil,Angina pectoris
2247,C0020538,DB01580,oxprenolol,Hypertensive disorder
2248,C0002962,DB01580,oxprenolol,Angina pectoris
2249,C0085612,DB01580,oxprenolol,Ventricular arrhythmia
2250,C0003467,DB01580,oxprenolol,Anxiety
2251,C0038358,DB05197,sofalcone,Gastric ulcer
2252,C1140680,DB00488,altretamine,Malignant tumor of ovary
2253,C0029408,DB01401,choline magnesium trisalicylate,Osteoarthritis
2254,C0015967,DB01401,choline magnesium trisalicylate,Fever
2255,C0030193,DB01401,choline magnesium trisalicylate,Pain
2256,C0003873,DB01401,choline magnesium trisalicylate,Rheumatoid arthritis
2257,C0029408,DB00939,meclofenamic acid,Osteoarthritis
2258,C0003873,DB00939,meclofenamic acid,Rheumatoid arthritis
2259,C0025323,DB00939,meclofenamic acid,Menorrhagia
2260,C0013390,DB00939,meclofenamic acid,Dysmenorrhea
2261,C0030193,DB00939,meclofenamic acid,Pain
2262,C0002915,DB13295,atracurium,General anesthesia
2263,C0026836,DB13295,atracurium,"Muscle relaxation, function"
2264,C0155862,DB01598,imipenem,Pneumonia due to Streptococcus
2265,C0276089,DB01598,imipenem,Pneumonia due to Escherichia coli
2266,C0014179,DB01598,imipenem,Endometritis
2267,C0014121,DB01598,imipenem,Bacterial endocarditis
2268,C0729524,DB01598,imipenem,Bacterial urinary infection
2269,C1112209,DB01598,imipenem,Infectious disease of abdomen
2270,C0178299,DB01598,imipenem,Infection of skin AND/OR subcutaneous tissue
2271,C0343402,DB01598,imipenem,Bacterial infection due to Klebsiella pneumoniae
2272,C0157749,DB01598,imipenem,Infectious disorder of joint
2273,C0243001,DB01598,imipenem,Abdominal abscess
2274,C0149725,DB01598,imipenem,Lower respiratory tract infection
2275,C1263758,DB01598,imipenem,Female genital tract infection
2276,C0004626,DB01598,imipenem,Bacterial pneumonia
2277,C0684256,DB01598,imipenem,Bacterial septicemia
2278,C2242472,DB01598,imipenem,Infection of bone
2279,C0276026,DB01598,imipenem,Haemophilus influenzae pneumonia
2280,C0031154,DB01598,imipenem,Peritonitis
2281,C0856695,DB01598,imipenem,Acute exacerbation of chronic bronchitis
2282,C0040252,DB00239,oxiconazole,Tinea corporis
2283,C0040262,DB00239,oxiconazole,Pityriasis versicolor
2284,C1384589,DB00239,oxiconazole,Tinea cruris
2285,C0040259,DB00239,oxiconazole,Tinea pedis
2286,C0030193,DB09084,benzydamine,Pain
2287,C0023474,DB04868,nilotinib,Chronic phase chronic myeloid leukemia
2288,C0031069,DB01394,colchicine,Familial Mediterranean fever
2289,C0018099,DB01394,colchicine,Gout
2290,C0268108,DB01394,colchicine,Chronic gouty arthritis
2291,C0011860,DB01124,tolbutamide,Diabetes mellitus type 2
2292,C0029878,DB03166,acetic acid,Otitis externa
